Year|StateAbbr|LOCID|ServiceLevel|AIPFederalFunds
2018|AK|*AKS|""|200000
2018|AK|*AKS|""|1800000
2018|AK|*AKV|""|16502
2018|AK|*AKV|""|16722
2018|AK|*AKV|""|30646
2018|AK|*AKV|""|31432
2018|AK|*AKV|""|31576
2018|AK|*AKV|""|33442
2018|AK|*AKV|""|33443
2018|AK|*AKV|""|38706
2018|AK|*AKV|""|40000
2018|AK|*AKV|""|41910
2018|AK|*AKV|""|42127
2018|AK|*AKV|""|50163
2018|AK|*AKV|""|50929
2018|AK|*AKV|""|61930
2018|AK|*AKV|""|61930
2018|AK|*AKV|""|63153
2018|AK|*AKV|""|66174
2018|AK|*AKV|""|66885
2018|AK|*AKV|""|66885
2018|AK|*AKV|""|66885
2018|AK|*AKV|""|67776
2018|AK|*AKV|""|70283
2018|AK|*AKV|""|76380
2018|AK|*AKV|""|81487
2018|AK|*AKV|""|81487
2018|AK|*AKV|""|81487
2018|AK|*AKV|""|89636
2018|AK|*AKV|""|97177
2018|AK|*AKV|""|98467
2018|AK|*AKV|""|101859
2018|AK|*AKV|""|101859
2018|AK|*AKV|""|105281
2018|AK|*AKV|""|113539
2018|AK|*AKV|""|122231
2018|AK|*AKV|""|145757
2018|AK|*AKV|""|146685
2018|AK|*AKV|""|151923
2018|AK|*AKV|""|154350
2018|AK|*AKV|""|156408
2018|AK|*AKV|""|162974
2018|AK|*AKV|""|163694
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|180075
2018|AK|*AKV|""|194343
2018|AK|*AKV|""|194343
2018|AK|*AKV|""|203718
2018|AK|*AKV|""|220027
2018|AK|*AKV|""|310334
2018|AK|*AKV|""|320019
2018|AK|*AKV|""|340101
2018|AK|*AKV|""|347875
2018|AK|*AKV|""|362261
2018|AK|*AKV|""|388687
2018|AK|*AKV|""|388687
2018|AK|*AKV|""|416511
2018|AK|*AKV|""|419100
2018|AK|*AKV|""|419100
2018|AK|*AKV|""|458367
2018|AK|*AKV|""|462916
2018|AK|*AKV|""|485859
2018|AK|*AKV|""|485859
2018|AK|*AKV|""|688271
2018|AK|*AKV|""|1117476
2018|AK|GGV|CS|150000
2018|AK|GGV|CS|350000
2018|AK|GGV|CS|2511220
2018|AK|IAN|CS|850000
2018|AK|IAN|CS|1300000
2018|AK|IAN|CS|500000
2018|AK|IAN|CS|3119685
2018|AK|IAN|CS|750000
2018|AK|KVL|CS|100000
2018|AK|KVL|CS|11018429
2018|AK|PHO|CS|306338
2018|AK|AFE|GA|117006
2018|AK|AFE|GA|250000
2018|AK|AFE|GA|2000000
2018|AK|AFE|GA|7000000
2018|AK|AQT|GA|1130000
2018|AK|AQT|GA|1250000
2018|AK|AQT|GA|400000
2018|AK|AQT|GA|800000
2018|AK|AQT|GA|1028125
2018|AK|AQT|GA|5810739
2018|AK|BCV|GA|224684
2018|AK|BCV|GA|750000
2018|AK|BCV|GA|1602844
2018|AK|BCV|GA|3924349
2018|AK|HCA|GA|140000
2018|AK|HCA|GA|940000
2018|AK|HCA|GA|10000
2018|AK|HCA|GA|90000
2018|AK|HCA|GA|218904
2018|AK|HCA|GA|235000
2018|AK|HCA|GA|4000000
2018|AK|IYS|GA|3735100
2018|AK|PAQ|GA|487200
2018|AK|PAQ|GA|518625
2018|AK|SWD|GA|468750
2018|AK|SXQ|GA|300000
2018|AK|SXQ|GA|3187500
2018|AK|WMO|GA|375000
2018|AK|WMO|GA|385000
2018|AK|WMO|GA|3196367
2018|AK|WMO|GA|85000
2018|AK|WMO|GA|95000
2018|AK|WMO|GA|280000
2018|AK|AKN|P|379920
2018|AK|AKN|P|12429416
2018|AK|ANC|P|169251
2018|AK|ANC|P|205343
2018|AK|ANC|P|3361227
2018|AK|ANC|P|8000000
2018|AK|ANC|P|9277485
2018|AK|ANC|P|312196
2018|AK|ANC|P|334122
2018|AK|ANC|P|27265755
2018|AK|ANI|P|500000
2018|AK|ANI|P|15134417
2018|AK|BRW|P|250000
2018|AK|BRW|P|250000
2018|AK|BRW|P|1000000
2018|AK|BRW|P|1000000
2018|AK|BRW|P|9695466
2018|AK|BRW|P|787092
2018|AK|DLG|P|468750
2018|AK|DLG|P|2864074
2018|AK|ENA|P|10619995
2018|AK|FAI|P|79688
2018|AK|FAI|P|1201044
2018|AK|GAL|P|70680
2018|AK|HOM|P|2943848
2018|AK|HOM|P|5570058
2018|AK|HOM|P|200000
2018|AK|HOM|P|300000
2018|AK|HOM|P|400000
2018|AK|HOM|P|900000
2018|AK|HOM|P|2000000
2018|AK|JNU|P|9985312
2018|AK|JNU|P|529688
2018|AK|JNU|P|634735
2018|AK|JNU|P|1801875
2018|AK|LHD|P|7406144
2018|AK|MRI|P|10851564
2018|AK|MRI|P|1486220
2018|AK|OME|P|800000
2018|AK|OME|P|1780854
2018|AK|OME|P|3500000
2018|AK|OME|P|4162500
2018|AK|SIT|P|515625
2018|AK|VDZ|P|279711
2018|AL|MSL|CS|206815
2018|AL|MSL|CS|5403885
2018|AL|MSL|CS|37525
2018|AL|MSL|CS|217740
2018|AL|02A|GA|608648
2018|AL|06A|GA|23192
2018|AL|06A|GA|114930
2018|AL|07A|GA|3139775
2018|AL|08A|GA|22715
2018|AL|08A|GA|25450
2018|AL|08A|GA|77731
2018|AL|0A8|GA|279111
2018|AL|0J6|GA|1194342
2018|AL|0R1|GA|56089
2018|AL|12J|GA|10000
2018|AL|12J|GA|275541
2018|AL|14J|GA|428404
2018|AL|1A9|GA|150000
2018|AL|1R8|GA|55440
2018|AL|1R8|GA|69766
2018|AL|20A|GA|34244
2018|AL|20A|GA|424636
2018|AL|26A|GA|206013
2018|AL|26A|GA|206013
2018|AL|3M8|GA|549723
2018|AL|4A9|GA|57397
