landingFacilityType|locationIdentifier|stateCode|cityName|officialFacilityName|elevation|land_area|refPtLatitude|refPtLongitude
AIRPORT|ADK|AK|ADAK ISLAND|ADAK|19.5||51.8835820555556|-176.642479916667
AIRPORT|AKK|AK|AKHIOK|AKHIOK|44.4||56.9386908333333|-154.182555555556
AIRPORT|Z13|AK|AKIACHAK|AKIACHAK|22.8|231|60.9138097222222|-161.493329166667
SEAPLANE BASE|KKI|AK|AKIACHAK|AKIACHAK|18||60.9078647222222|-161.435077222222
AIRPORT|AKI|AK|AKIAK|AKIAK|39.8|59|60.9028972222222|-161.230583333333
SEAPLANE BASE|KQA|AK|AKUTAN|AKUTAN|0||54.1339|-165.778383333333
AIRPORT|7AK|AK|AKUTAN|AKUTAN|129.3|369|54.1446111111111|-165.604108333333
AIRPORT|AUK|AK|ALAKANUK|ALAKANUK|21.7||62.6830555555556|-164.722194444444
AIRPORT|Z25|AK|ALEKNAGIK|TRIPOD|225||59.2631458333333|-158.557755277778
SEAPLANE BASE|Z33|AK|ALEKNAGIK|ALEKNAGIK|7||59.2739780555556|-158.623589166667
AIRPORT|5A8|AK|ALEKNAGIK|ALEKNAGIK /NEW|63|51|59.2825555555556|-158.617866666667
AIRPORT|4AK7|AK|ALEKNAGIK|ALEKNAGIK MISSION STRIP|150||59.2809233333333|-158.597200277778
AIRPORT|6A8|AK|ALLAKAKET|ALLAKAKET|441.1||66.5518333333333|-152.622166666667
AIRPORT|AFM|AK|AMBLER|AMBLER|292.6|272|67.1062022777778|-157.857170861111
AIRPORT|80A|AK|AMERICAN CREEK|AMERICAN CREEK|513||65.1039819444444|-151.177233333333
SEAPLANE BASE|AK81|AK|AMOOK BAY|AMOOK BAY|0||57.4714936111111|-153.815360555556
AIRPORT|AKP|AK|ANAKTUVUK PASS|ANAKTUVUK PASS|2106.3||68.1336111111111|-151.743333333333
AIRPORT|CSR|AK|ANCHORAGE|CAMPBELL AIRSTRIP|286|4201|61.1587|-149.780611111111
HELIPORT|AK38|AK|ANCHORAGE|PROVIDENCE HOSPITAL|140||61.1890305555556|-149.821830555556
AIRPORT|AA06|AK|ANCHORAGE|SIXMILE LAKE|85|80|61.2897222222222|-149.806111111111
